cont,pkts,class,proto,dport,lbanda,duracao,pkt_soma_tam,pkt_maior_tam,pkt_menor_tam,pkts_por_seg,1stq_pkt_tam,3rdq_pkt_tam,pkt_tam_media,pkt_tam_mediana,pkt_tam_std,pkts_maiores_media,pacotes_menores_media,payload_soma,payload_menor,payload_maior,payload_media,payload_std,payload_menor_128,payload_entre128_1024,payload_maior_1024,1stq_payload_tam,3rdq_payload_tam,IAT_menor,IAT_maior,IAT_soma,IAT_media,IAT_maiores_media,IAT_menores_media,IAT_std,1stq_IAT,3rdq_IAT,tcp_push_flags,tcp_urg_flags,tcp_syn_flags,tcp_fin_flags,tcp_rst_flags,tcp_ack_flags,tcp_flags,header_tam_soma,header_tam_media,header_tam_std
2749,15,besteffort,0,0.07631036850537881,0.1444954128440367,0.00006976,1.008,1.008,1.008,0.14334862385321104,1.008,1.008,1.008,1.008,0.0,0.0,1.0,0.98,0.98,0.98,0.98,0.0,0.0,0.0,1.0,0.98,0.98,0.0000738,0.0000764,0.00006976,0.0007474285714285714285714285714,0.5333333333333333,0.4,6.510587922917624e-07,0.0000741,0.0000751,0,0,0,0,0,0,0,0.2,0.2,0.0
2750,15,besteffort,0,0.07631036850537881,0.1443436754176611,0.00006983333333333333333333333333,1.008,1.008,1.008,0.1431980906921241,1.008,1.008,1.008,1.008,0.0,0.0,1.0,0.98,0.98,0.98,0.98,0.0,0.0,0.0,1.0,0.98,0.98,0.0000739,0.0000756,0.00006983333333333333333333333333,0.0007482142857142857142857142857,0.5333333333333333,0.4,4.798490408876695e-07,0.0000744,0.0000752,0,0,0,0,0,0,0,0.2,0.2,0.0
2751,15,besteffort,0,0.07631036850537881,0.1443574565590987,0.00006982666666666666666666666667,1.008,1.008,1.008,0.14321176245942333,1.008,1.008,1.008,1.008,0.0,0.0,1.0,0.98,0.98,0.98,0.98,0.0,0.0,0.0,1.0,0.98,0.98,0.0000731,0.0000769,0.00006982666666666666666666666667,0.0007481428571428571428571428571,0.4,0.5333333333333333,9.241653708363354e-07,0.0000743,0.0000755,0,0,0,0,0,0,0,0.2,0.2,0.0
2752,15,besteffort,0,0.07631036850537881,0.14412353445810694,0.00006994,1.008,1.008,1.008,0.1429796968830426,1.008,1.008,1.008,1.008,0.0,0.0,1.0,0.98,0.98,0.98,0.98,0.0,0.0,0.0,1.0,0.98,0.98,7E-7,0.0001417,0.00006994,0.0007493571428571428571428571429,0.4666666666666667,0.4666666666666667,2.6810275406025556e-05,0.0000742,0.0000754,0,0,0,0,0,0,0,0.2,0.2,0.0
2753,15,besteffort,0,0.07631036850537881,0.14445399828030955,0.00006978,1.008,1.008,1.008,0.14330753797649756,1.008,1.008,1.008,1.008,0.0,0.0,1.0,0.98,0.98,0.98,0.98,0.0,0.0,0.0,1.0,0.98,0.98,0.0000737,0.0000767,0.00006978,0.0007476428571428571428571428571,0.4666666666666667,0.4666666666666667,6.903489209472709e-07,0.0000745,0.000075,0,0,0,0,0,0,0,0.2,0.2,0.0
2754,15,besteffort,0,0.07631036850537881,0.14442640175757,0.00006979333333333333333333333333,1.008,1.008,1.008,0.14328016047377973,1.008,1.008,1.008,1.008,0.0,0.0,1.0,0.98,0.98,0.98,0.98,0.0,0.0,0.0,1.0,0.98,0.98,0.0000727,0.0000765,0.00006979333333333333333333333333,0.0007477857142857142857142857143,0.6666666666666666,0.26666666666666666,7.427541137344093e-07,0.0000747,0.0000749,0,0,0,0,0,0,0,0.2,0.2,0.0
2755,15,besteffort,0,0.07631036850537881,0.14446780049684693,0.00006977333333333333333333333333,1.008,1.008,1.008,0.14332123065163388,1.008,1.008,1.008,1.008,0.0,0.0,1.0,0.98,0.98,0.98,0.98,0.0,0.0,0.0,1.0,0.98,0.98,0.0000738,0.0000756,0.00006977333333333333333333333333,0.0007475714285714285714285714286,0.6,0.3333333333333333,4.2039825627320455e-07,0.0000746,0.000075,0,0,0,0,0,0,0,0.2,0.2,0.0
2756,15,besteffort,0,0.07631036850537881,0.14439881577690764,0.00006980666666666666666666666667,1.008,1.008,1.008,0.14325279342947186,1.008,1.008,1.008,1.008,0.0,0.0,1.0,0.98,0.98,0.98,0.98,0.0,0.0,0.0,1.0,0.98,0.98,0.0000724,0.0000763,0.00006980666666666666666666666667,0.0007479285714285714285714285714,0.6,0.3333333333333333,8.396123984267006e-07,0.0000746,0.0000751,0,0,0,0,0,0,0,0.2,0.2,0.0
2757,15,besteffort,0,0.07631036850537881,0.14452303574842287,0.00006974666666666666666666666667,1.008,1.008,1.008,0.14337602752819728,1.008,1.008,1.008,1.008,0.0,0.0,1.0,0.98,0.98,0.98,0.98,0.0,0.0,0.0,1.0,0.98,0.98,0.0000736,0.0000757,0.00006974666666666666666666666667,0.0007472857142857142857142857143,0.4,0.5333333333333333,6.157789160643516e-07,0.0000743,0.0000753,0,0,0,0,0,0,0,0.2,0.2,0.0
2758,15,besteffort,0,0.07631036850537881,0.14421976344906523,0.00006989333333333333333333333333,1.008,1.008,1.008,0.14307516215185045,1.008,1.008,1.008,1.008,0.0,0.0,1.0,0.98,0.98,0.98,0.98,0.0,0.0,0.0,1.0,0.98,0.98,0.0000738,0.000076,0.00006989333333333333333333333333,0.0007488571428571428571428571429,0.4666666666666667,0.4666666666666667,6.401530429259451e-07,0.0000746,0.0000752,0,0,0,0,0,0,0,0.2,0.2,0.0
